,Property_type,Areas,Price in Lakhs,Bathrooms,Face,Square Feet,Status,Bedrooms
0,Apartment,Penamaluru,108.0,0,Unknown,"5,000 / sq ft",Ready to move,3
1,Apartment,Gannavaram,28.0,0,Unknown,"2,500 / sq ft",Ready to move,2
2,Apartment,Penamaluru,90.51,0,Unknown,"4,499 / sq ft",Ready to move,3
3,Apartment,Gannavaram,28.0,0,Unknown,"2,500 / sq ft",Ready to move,2
4,Apartment,Penamaluru,100.0,0,Unknown,"5,000 / sq ft",Ready to move,3
5,Apartment,Gannavaram,53.0,0,Unknown,"2,500 / sq ft",Ready to move,3
6,Independent House,Ramalingeswara Nagar,110.0,5,Unknown,"4,313 / sq ft",Ready to move,5
7,Independent House,PNT Colony,150.0,5,Unknown,"5,000 / sq ft",Under Construction,5
8,Apartment,Kanuru,215.0,4,East,"7,918 / sq ft",Ready to move,4
9,Apartment,Gollapudi,43.0,2,Unknown,"4,134 / sq ft",Ready to move,2
10,Residential Plot,Penamaluru,42.0,0,Unknown,"21,000 / sq ft",Resale,0
11,Independent House,Currency Nagar,350.0,7,Unknown,"5,384 / sq ft",Ready to move,8
12,Apartment,Gannavaram,75.0,3,Unknown,"3,475 / sq ft",Under Construction,3
13,Villa,Kankipadu,68.0,2,Unknown,"4,121 / sq ft",Under Construction,3
14,Residential Plot,Ramavarapadu,22.5,0,Unknown,"13,473 / sq ft",Resale,0
15,Villa,Rajiv Bhargav Colony,142.0,0,Unknown,"5,501 / sq ft",Under Construction,3
16,Residential Plot,Ibrahimpatnam,111.0,0,Unknown,"3,555 / sq ft",New,0
17,Residential Plot,Nunna,49.99,0,East,"3,676 / sq ft",New,0
18,Villa,Payakapuram,130.0,4,Unknown,"4,905 / sq ft",Ready to move,3
19,Residential Plot,Nunna,46.0,0,East,"2,555 / sq ft",New,0
20,Independent House,Nunna,58.0,2,East,"4,833 / sq ft",Under Construction,2
21,Apartment,Penamaluru,119.0,0,Unknown,"4,999 / sq ft",Ready to move,3
22,Independent House,Benz Circle,100.0,20252,Unknown,"8,333 / sq ft",Under Construction,2
23,Villa,Rajiv Bhargav Colony,142.0,0,Unknown,"5,501 / sq ft",Under Construction,3
24,Apartment,Kanuru,65.0,3,East,"3,651 / sq ft",Ready to move,3
