,Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
0,3,0,Ready to move,2161,Penamaluru,108.0,None,Apartment
1,2,0,Ready to move,1120,Gannavaram,28.0,None,Apartment
2,3,0,Ready to move,2012,Penamaluru,90.51,None,Apartment
3,2,0,Ready to move,1120,Gannavaram,28.0,None,Apartment
4,3,0,Ready to move,2014,Penamaluru,100.0,None,Apartment
5,3,0,Ready to move,2120,Gannavaram,53.0,None,Apartment
6,5,5,Ready to move,2550,Ramalingeswara Nagar,110.00000000000001,None,Independent House
7,5,5,Under Construction,3000,PNT Colony,150.0,None,Independent House
8,4,4,Ready to move,2715,Kanuru,215.0,East,Apartment
9,2,2,Ready to move,1040,Gollapudi,43.0,None,Apartment
10,0,0,Resale,200,Penamaluru,42.0,None,Residential Plot
11,8,7,Ready to move,6500,Currency Nagar,350.0,None,Independent House
12,3,3,Under Construction,2158,Gannavaram,75.0,None,Apartment
13,3,2,Under Construction,1650,Kankipadu,68.0,None,Villa
14,0,0,Resale,167,Ramavarapadu,22.5,None,Residential Plot
15,3,0,Under Construction,2585,Rajiv Bhargav Colony,142.0,None,Villa
16,0,0,New,3150,Ibrahimpatnam,111.00000000000001,None,Residential Plot
17,0,0,New,1360,Nunna,49.99,East,Residential Plot
18,3,4,Ready to move,2650,Payakapuram,130.0,None,Villa
19,0,0,New,1800,Nunna,46.0,East,Residential Plot
20,2,2,Under Construction,1200,Nunna,58.0,East,Independent House
21,3,0,Ready to move,2399,Penamaluru,119.0,None,Apartment
22,2,20252,Under Construction,1200,Benz Circle,100.0,None,Independent House
23,3,0,Under Construction,2585,Rajiv Bhargav Colony,142.0,None,Villa
24,3,3,Ready to move,1780,Kanuru,65.0,East,Apartment
25,0,0,New,1881,Kankipadu,33.45,NorthEast,Residential Plot
26,0,0,New,1360,Nunna,48.5,East,Residential Plot
27,0,0,New,1650,Kankipadu,38.8,East,Residential Plot
28,0,0,New,1800,Ramavarapadu,64.0,East,Residential Plot
29,0,0,New,1800,Ibrahimpatnam,63.99,None,Residential Plot
30,4,4,Ready to move,2000,Labbipet,185.0,East,Independent House
31,0,0,New,2250,Poranki,50.0,NorthEast,Residential Plot
32,0,0,New,1650,Vuyyuru,21.6,East,Residential Plot
33,3,0,Ready to move,2120,Gannavaram,53.0,None,Apartment
34,5,5,Under Construction,3000,PNT Colony,150.0,None,Independent House
35,0,0,New,1503,Payakapuram,31.5,West,Residential Plot
36,2,3,Ready to move,1040,Gollapudi,43.0,None,Apartment
37,0,0,New,1500,Gannavaram,33.0,East,Residential Plot
38,0,0,New,1350,Payakapuram,51.02,NorthWest,Residential Plot
39,0,0,New,1647,Ramavarapadu,64.05,East,Residential Plot
40,0,0,New,1350,Penamaluru,31.5,East,Residential Plot
41,0,0,New,2163,Kankipadu,66.0,East,Residential Plot
42,0,0,New,1512,Edupugallu,42.0,East,Residential Plot
43,0,0,New,1800,Kesarapalle,42.0,None,Residential Plot
44,3,0,Under Construction,2447,Rajiv Bhargav Colony,134.0,None,Villa
45,0,0,New,1503,Ibrahimpatnam,53.43,None,Residential Plot
46,3,0,Ready to move,1720,Gannavaram,43.0,None,Apartment
47,3,3,Ready to move,3300,Ramavarapadu,275.0,None,Villa
48,5,5,Under Construction,3000,PNT Colony,150.0,None,Independent House
49,0,0,New,1800,Edupugallu,30.0,West,Residential Plot
50,0,0,New,1500,Nunna,55.0,East,Residential Plot
51,0,0,New,1602,Kesarapalle,31.0,East,Residential Plot
52,0,0,New,1350,Kanchikacherla,18.01,West,Residential Plot
53,0,0,New,1530,Kankipadu,34.0,East,Residential Plot
54,0,0,New,1980,Ramavarapadu,77.0,East,Residential Plot
55,0,0,New,1620,Vuyyuru,22.0,East,Residential Plot
56,3,0,Under Construction,2447,Rajiv Bhargav Colony,134.0,None,Villa
57,2,2,Ready to move,1266,Gannavaram,50.64,None,Apartment
58,3,3,Ready to move,1450,Currency Nagar,61.98,None,Apartment
59,0,0,New,1350,SURAMPALLI,11.99,None,Residential Plot
60,0,0,New,1350,SURAMPALLI,11.99,None,Residential Plot
61,0,0,New,1080,Vijayawada Road,9.6,None,Residential Plot
62,0,0,New,900,Tadigadapa Main Road,15.99,None,Residential Plot
63,0,0,New,1908,Gannavaram,34.88,East,Residential Plot
64,3,0,Ready to move,1720,Gannavaram,43.0,None,Apartment
65,0,0,New,1800,Kankipadu,24.0,East,Residential Plot
66,5,5,Under Construction,3000,PNT Colony,150.0,None,Independent House
67,0,0,New,14490,Kankipadu,325.0,None,Residential Plot
68,0,0,New,1125,Kankipadu,22.5,None,Residential Plot
69,0,0,New,1650,Kankipadu,21.96,West,Residential Plot
70,0,0,New,1800,Nunna,40.0,East,Residential Plot
71,0,0,New,1728,Poranki,61.5,East,Residential Plot
72,0,0,New,1881,Kankipadu,33.44,East,Residential Plot
73,0,0,New,1650,Gannavaram,40.26,East,Residential Plot
74,2,2,Ready to move,1100,Poranki,45.0,None,Apartment
75,0,0,New,2205,Mangalagiri,41.5,None,Residential Plot
76,0,0,New,1350,Ramavarapadu Ring,16.5,None,Residential Plot
77,3,0,Ready to move,1663,Gannavaram,66.52,None,Apartment
78,2,2,Ready to move,1350,Currency Nagar,52.0,None,Apartment
79,0,0,New,1080,Tadigadapa,19.2,None,Residential Plot
80,0,0,New,1350,SURAMPALLI,11.25,None,Residential Plot
81,2,20212,Under Construction,1594,Vuyyuru,35.0,None,Independent House
82,2,2,Ready to move,1170,Nunna,55.0,None,Independent House
83,3,3,Ready to move,1485,Gannavaram,46.0,None,Apartment
84,2,0,Under Construction,1106,Kankipadu,51.67,None,Villa
85,3,3,Ready to move,1600,Auto Nagar,57.0,None,Independent House
86,3,3,Ready to move,1905,Gannavaram,66.67,None,Apartment
87,3,3,Ready to move,1400,Gannavaram,49.0,None,Apartment
88,2,2,Ready to move,1905,Gannavaram,66.67,None,Apartment
89,2,20222,Under Construction,1485,Punadipadu,52.0,None,Apartment
90,2,20222,Under Construction,1485,Punadipadu,52.0,None,Independent Floor
91,3,3,Ready to move,1549,Nidamanuru,63.0,None,Independent House
92,3,3,Ready to move,1549,Nidamanuru,63.0,None,Apartment
93,3,4,Under Construction,1549,Nidamanuru,63.0,None,Apartment
94,2,2,Ready to move,960,Nidamanuru,37.0,None,Apartment
95,2,2,Ready to move,1100,Edupugallu,22.0,None,Apartment
96,0,0,New,1800,Ramavarapadu,70.0,East,Apartment
97,0,0,New,1800,Vuyyuru,23.5,East,Residential Plot
98,0,0,New,212,Gudavalli,1.6,North,Residential Plot
99,2,2,Ready to move,1440,Kankipadu,42.0,None,Residential Plot
100,2,0,Ready to move,1520,Gannavaram,38.0,None,Independent House
101,2,0,Ready to move,1520,Gannavaram,38.0,None,Apartment
102,5,5,Under Construction,3000,PNT Colony,150.0,None,Apartment
103,5,5,Under Construction,3000,PNT Colony,150.0,None,Independent House
104,3,0,Under Construction,2285,Rajiv Bhargav Colony,125.0,None,Independent House
105,3,0,Under Construction,2285,Rajiv Bhargav Colony,125.0,None,Villa
106,3,0,Under Construction,3414,Rajiv Bhargav Colony,187.0,None,Villa
107,3,0,Under Construction,3414,Rajiv Bhargav Colony,187.0,None,Villa
108,3,0,Under Construction,2623,Rajiv Bhargav Colony,144.0,None,Villa
109,3,0,Under Construction,2623,Rajiv Bhargav Colony,144.0,None,Villa
110,3,0,Under Construction,2119,Rajiv Bhargav Colony,115.99999999999999,None,Villa
111,3,0,Under Construction,2119,Rajiv Bhargav Colony,115.99999999999999,None,Villa
112,3,0,Under Construction,2039,Rajiv Bhargav Colony,112.00000000000001,None,Villa
113,3,0,Under Construction,2039,Rajiv Bhargav Colony,112.00000000000001,None,Villa
114,3,0,Under Construction,3363,Rajiv Bhargav Colony,184.0,None,Villa
115,3,0,Under Construction,3363,Rajiv Bhargav Colony,184.0,None,Villa
116,3,0,Under Construction,2768,Rajiv Bhargav Colony,152.0,None,Villa
117,3,0,Under Construction,2768,Rajiv Bhargav Colony,152.0,None,Villa
118,3,0,Under Construction,2798,Rajiv Bhargav Colony,153.0,None,Villa
119,3,0,Under Construction,2798,Rajiv Bhargav Colony,153.0,None,Villa
120,0,0,New,1650,Nunna,59.99,East,Villa
121,0,0,New,1431,Kankipadu,25.45,NorthEast,Residential Plot
122,0,0,New,1431,Kankipadu,25.44,East,Residential Plot
123,0,0,New,1531,Kankipadu,27.2,East,Residential Plot
124,0,0,New,1701,Nunna,58.59,East,Residential Plot
125,0,0,New,1512,Kesarapalle,28.5,East,Residential Plot
126,0,0,New,1350,Payakapuram,51.01,NorthEast,Residential Plot
127,0,0,New,1350,Payakapuram,49.51,North,Residential Plot
128,0,0,New,1350,Payakapuram,49.5,North,Residential Plot
129,0,0,New,1350,Payakapuram,51.0,East,Residential Plot
130,3,4,Under Construction,2350,Payakapuram,135.0,East,Residential Plot
131,3,4,Under Construction,2350,Payakapuram,130.0,West,Villa
132,0,0,New,1800,Gannavaram,52.0,NorthEast,Villa
133,0,0,New,1800,Gannavaram,33.0,NorthEast,Residential Plot
134,0,0,New,1800,Kanchikacherla,13.0,NorthEast,Residential Plot
135,0,0,New,1800,Kankipadu,32.0,NorthEast,Residential Plot
136,0,0,New,1800,Kankipadu,42.0,NorthEast,Residential Plot
137,0,0,New,1850,Kankipadu,29.0,NorthEast,Residential Plot
138,0,0,New,1800,Nunna,60.0,East,Residential Plot
139,0,0,New,1800,Edupugallu,32.0,East,Residential Plot
140,0,0,New,1800,Kankipadu,42.0,NorthEast,Residential Plot
141,0,0,New,1850,Kankipadu,29.0,NorthEast,Residential Plot
142,0,0,New,1800,Nunna,60.0,East,Residential Plot
143,0,0,New,1350,Kanchikacherla,18.0,East,Residential Plot
144,0,0,New,1500,Nunna,38.4,East,Residential Plot
145,0,0,New,1650,Ramavarapadu,42.09,East,Residential Plot
146,0,0,New,1650,Ramavarapadu,40.0,East,Residential Plot
147,0,0,New,1800,Ramavarapadu,50.0,East,Residential Plot
148,0,0,New,1503,Kankipadu,28.38,East,Residential Plot
149,0,0,New,1800,Ramavarapadu,68.0,East,Residential Plot
150,0,0,New,1647,Kankipadu,31.11,East,Residential Plot
151,0,0,New,1503,Kankipadu,28.33,East,Residential Plot
152,0,0,New,2163,Ramavarapadu,66.0,None,Residential Plot
153,0,0,New,1800,Nunna,50.0,East,Residential Plot
154,0,0,New,1500,Nunna,60.0,East,Residential Plot
155,0,0,New,1800,Kankipadu,30.0,NorthEast,Residential Plot
156,0,0,New,1503,Nunna,31.5,East,Residential Plot
157,2,2,Under Construction,1200,Nunna,63.0,East,Residential Plot
158,0,0,New,1845,Nunna,40.0,West,Independent House
159,0,0,New,3600,Ramavarapadu,160.0,None,Residential Plot
160,0,0,New,4680,Kankipadu,112.00000000000001,East,Residential Plot
161,0,0,New,5427,Kankipadu,120.0,West,Residential Plot
162,0,0,New,4770,Kankipadu,114.99999999999999,None,Residential Plot
163,0,0,New,1900,Vuyyuru,24.5,East,Residential Plot
164,0,0,New,1750,Vuyyuru,23.6,East,Residential Plot
